album,artist,date
Coke Wave,Various Artists,2020-01-19
Enema of the State,Blink-182,2020-01-12
So,Peter Gabriel,2020-01-05
Tapestry,Carole King,2019-12-22
The Chronic,Dr. Dre,2019-12-15
Three Cheers for Sweet Revenge,My Chemical Romance,2019-12-08
Tattoo You,The Rolling Stones,2019-12-01
"Bachelor No. 2 or, the Last Remains of the Dodo",Aimee Mann,2019-11-17
Madonna,...And You Will Know Us by the Trail of Dead,2019-11-10
Let’s Get Free,dead prez,2019-11-03
(GI),Germs,2019-10-27
Beauty and the Beat,The Go-Go’s,2019-10-20
For Your Pleasure,Roxy Music,2019-10-13
Room for Squares,John Mayer,2019-10-06
Gold: Greatest Hits,ABBA,2019-09-29
A Blaze in the Northern Sky,Darkthrone,2019-09-22
Sentimentally Yours,Patsy Cline,2019-09-15
Ingénue,k.d. lang,2019-09-08
"In My Lifetime, Vol. 1",JAY-Z,2019-09-01
Dutty Rock,Sean Paul,2019-08-25
Heart Like a Wheel,Linda Ronstadt,2019-08-18
Buckingham Nicks,Buckingham Nicks,2019-08-11
Stevie Wonder’s Journey Through the Secret Life of Plants,Stevie Wonder,2019-08-04
Moon Pix,Cat Power,2019-07-28
Harlem World,Mase,2019-07-21
Aaliyah,Aaliyah,2019-07-14
The Legend of Zelda: Ocarina of Time,Koji Kondo,2019-07-07
Ágætis byrjun,Sigur Rós,2019-06-30
On Avery Island,Neutral Milk Hotel,2019-06-23
Back in Black,AC/DC,2019-06-16
Never Say Goodbye,Roky Erickson,2019-06-09
Terror Twilight,Pavement,2019-06-02
Forever Breathes the Lonely Word,Felt,2019-05-26
Spice,Spice Girls,2019-05-19
Stolen Youth,,2019-05-12
Selected Ambient Works Volume II,Aphex Twin,2019-05-05
The Jewel in the Lotus,Bennie Maupin,2019-04-28
Floral Shoppe,Macintosh Plus,2019-04-21
"Who Is Jill Scott?: Words and Sounds, Vol. 1",Jill Scott,2019-04-14
The Slider,T. Rex,2019-04-07
Damita Jo,Janet Jackson,2019-03-31
When the Pawn...,Fiona Apple,2019-03-24
Let There Be Eve...Ruff Ryders’ First Lady,Eve,2019-03-17
If I Could Only Remember My Name,David Crosby,2019-03-10
Walking Wounded,Everything But the Girl,2019-03-03
MTV Unplugged in New York,Nirvana,2019-02-24
TNT,Tortoise,2019-02-17
A Prince Among Thieves,Prince Paul,2019-02-10
Journey in Satchidananda,Alice Coltrane,2019-02-03
Private Parts,Robert Ashley,2019-01-27
Tracy Chapman,Tracy Chapman,2019-01-20
Spirit of Eden,Talk Talk,2019-01-13
Singles Going Steady,Buzzcocks,2019-01-06
Let Go,Avril Lavigne,2018-12-16
Paranoid,Black Sabbath,2018-12-09
Homework,Daft Punk,2018-12-02
Moondance,Van Morrison,2018-11-25
Hellboy,Lil Peep,2018-11-18
Toxicity,System of a Down,2018-11-11
Supa Dupa Fly,Missy Elliott,2018-11-04
Car Wheels on a Gravel Road,Lucinda Williams,2018-10-28
Remain in Light,Talking Heads,2018-10-21
The B-52’s,The B-52’s,2018-10-14
Welcome 2 Detroit,J Dilla,2018-10-07
Maxwell’s Urban Hang Suite,Maxwell,2018-09-30
3 Feet High and Rising,De La Soul,2018-09-23
Rid of Me,PJ Harvey,2018-09-16
Trap Muzik,T.I.,2018-09-09
Clube Da Esquina,,2018-09-02
"Burritos, Inspiration Point, Fork Balloon Sports, Cards in the Spokes, Automatic Biographies, Kites, Kung Fu, Trophies, Banana Peels We’ve Slipped on, and Egg Shells We’ve Tippy Toed Over",Cap’n Jazz,2018-08-26
The Fat Of the Land,The Prodigy,2018-08-19
Earl,Earl Sweatshirt,2018-08-12
Faith,George Michael,2018-08-05
Poison,Bell Biv Devoe,2018-07-29
Cosmo’s Factory,Creedence Clearwater Revival,2018-07-22
400 Degreez,Juvenile,2018-07-15
Miss America,Mary Margaret O’Hara,2018-07-08
Incesticide,Nirvana,2018-07-01
To Record Only Water for Ten Days,John Frusciante,2018-06-24
Super Fly,Curtis Mayfield,2018-06-17
The Band,The Band,2018-06-10
Live Through This,Hole,2018-06-03
Only Built 4 Cuban Linx,Raekwon,2018-05-27
Spirit in the Dark,Aretha Franklin,2018-05-20
Time Out of Mind,Bob Dylan,2018-05-13
The Flowers of Romance,Public Image Ltd,2018-05-06
Perfect From Now On,Built to Spill,2018-04-29
"I, Jonathan",Jonathan Richman,2018-04-22
The Marshall Mathers LP,Eminem,2018-04-15
American Recordings,Johnny Cash,2018-04-08
Raw Like Sushi,Neneh Cherry,2018-04-01
Something Else,The Kinks,2018-03-25
Nebraska,Bruce Springsteen,2018-03-18
Get Up With It,Miles Davis,2018-03-11
The Diary,Scarface,2018-03-04
40oz. to Freedom,Sublime,2018-02-25
The Boy With the Arab Strap,Belle and Sebastian,2018-02-18
Stankonia,OutKast,2018-02-11
The Well-Tuned Piano 81 X 25 6:17:50 - 11:18:59 PM NYC,La Monte Young,2018-02-04
All Eyez on Me,2Pac,2018-01-28
Love/Hate,The-Dream,2018-01-21
Winter in America,,2018-01-14
Hats,The Blue Nile,2018-01-07
Rage Against the Machine,Rage Against the Machine,2017-12-17
Daydream,Mariah Carey,2017-12-10
Metal Machine Music,Lou Reed,2017-12-03
The Age of Consent,Bronski Beat,2017-11-26
Red Headed Stranger,Willie Nelson,2017-11-19
Chelsea Girl,Nico,2017-11-12
Fumbling Towards Ecstasy,Sarah McLachlan,2017-11-05
I Can Hear the Heart Beating as One,Yo La Tengo,2017-10-29
The Queen Is Dead,The Smiths,2017-10-22
Wrong Way Up,,2017-10-15
The Carnival,Wyclef Jean,2017-10-08
"He’s the DJ, I’m the Rapper",DJ Jazzy Jeff & The Fresh Prince,2017-10-01
Elastica,Elastica,2017-09-24
White Pony,Deftones,2017-09-17
Red,King Crimson,2017-09-10
Country Grammar,Nelly,2017-09-03
Gypsy Woman,Joe Bataan,2017-08-27
Songs From the Big Chair,Tears for Fears,2017-08-20
Tidal,Fiona Apple,2017-08-13
Good Morning Spider,Sparklehorse,2017-08-06
American Water,Silver Jews,2017-07-30
Dots and Loops,Stereolab,2017-07-23
Appetite for Destruction,Guns N' Roses,2017-07-16
Metallica,Metallica,2017-07-09
"Here, My Dear",Marvin Gaye,2017-07-02
Tres Hombres,ZZ Top,2017-06-25
The Writing’s on the Wall,Destiny’s Child,2017-06-18
Very Necessary,Salt-N-Pepa,2017-06-11
Supreme Clientele,Ghostface Killah,2017-06-04
Easter,Patti Smith Group,2017-05-28
Violent Femmes,Violent Femmes,2017-05-21
Reasonable Doubt,JAY-Z,2017-05-14
Dookie,Green Day,2017-05-07
In on the Kill Taker,Fugazi,2017-04-30
Dummy,Portishead,2017-04-23
Damaged,Black Flag,2017-04-16
Love Deluxe,Sade,2017-04-09
Liquid Liquid EP/ Successive Reflexes EP/ Optimo EP,Liquid Liquid,2017-04-02
Bach: The Goldberg Variations,Glenn Gould,2017-03-26
Wailing,Wailing Souls,2017-03-19
Monk’s Music,Thelonious Monk,2017-03-12
It’s Dark and Hell Is Hot,DMX,2017-03-05
Weezer (Blue Album),Weezer,2017-02-26
Trans,Neil Young,2017-02-19
Bad Timing,Jim O’Rourke,2017-02-12
Homogenic,Björk,2017-02-05
Behaviour,Pet Shop Boys,2017-01-29
I Ain’t Marching Anymore,Phil Ochs,2017-01-22
Germfree Adolescents,X-Ray Spex,2017-01-15
Mezzanine,Massive Attack,2017-01-08
Sketches for My Sweetheart the Drunk,Jeff Buckley,2016-12-11
The Devil and God Are Raging Inside Me,Brand New,2016-12-04
Death Certificate,Ice Cube,2016-11-27
I’m Your Man,Leonard Cohen,2016-11-20
Double Nickels on the Dime,Minutemen,2016-11-13
Arrival,ABBA,2016-11-06
Blood on the Tracks,Bob Dylan,2016-10-30
End of the Century,Ramones,2016-10-23
Good Old Boys,Randy Newman,2016-10-16
Rhythm Nation 1814,Janet Jackson,2016-10-09
Alien Lanes,Guided by Voices,2016-10-02
Mama’s Gun,Erykah Badu,2016-09-25
Another Green World,Brian Eno,2016-09-18
Caetano Veloso,Caetano Veloso,2016-09-11
A Rainbow in Curved Air,Terry Riley,2016-09-04
Things Fall Apart,The Roots,2016-08-28
Songs in the Key of Life,Stevie Wonder,2016-08-21
Dry,PJ Harvey,2016-08-14
Dangerous,Michael Jackson,2016-08-07
Blood Sugar Sex Magik,Red Hot Chili Peppers,2016-07-31
Buhloone Mindstate,De La Soul,2016-07-24
Tusk,Fleetwood Mac,2016-07-17
The Miseducation of Lauryn Hill,Lauryn Hill,2016-07-10
Different Class,Pulp,2016-07-03
Tonight's the Night,Neil Young,2016-06-26
