str,unix
2005-02-13,1108296000
2005-02-20,1108900800
2005-02-27,1109505600
2005-03-06,1110110400
2005-03-13,1110715200
2005-03-20,1111320000
2005-03-27,1111924800
2005-04-03,1112529600
2005-04-10,1113134400
2005-04-17,1113739200
2005-04-24,1114344000
2005-05-01,1114948800
2005-05-08,1115553600
2005-05-15,1116158400
2005-05-22,1116763200
2005-05-29,1117368000
2005-06-05,1117972800
2005-06-12,1118577600
2005-06-19,1119182400
2005-06-26,1119787200
2005-07-03,1120392000
2005-07-10,1120996800
2005-07-17,1121601600
2005-07-24,1122206400
2005-07-31,1122811200
2005-08-07,1123416000
2005-08-14,1124020800
2005-08-21,1124625600
2005-08-28,1125230400
2005-09-04,1125835200
2005-09-11,1126440000
2005-09-18,1127044800
2005-09-25,1127649600
2005-10-02,1128254400
2005-10-09,1128859200
2005-10-16,1129464000
2005-10-23,1130068800
2005-10-30,1130673600
2005-11-06,1131278400
2005-11-13,1131883200
2005-11-20,1132488000
2005-11-27,1133092800
2005-12-04,1133697600
2005-12-11,1134302400
2005-12-18,1134907200
2005-12-25,1135512000
2006-01-01,1136116800
2006-01-08,1136721600
2006-01-15,1137326400
2006-01-22,1137931200
2006-01-29,1138536000
2006-02-05,1139140800
2006-02-12,1139745600
2006-02-19,1140350400
2006-02-26,1140955200
2006-03-05,1141560000
2006-03-12,1142164800
2006-03-19,1142769600
2006-03-26,1143374400
2006-04-02,1143979200
2006-04-09,1144584000
2006-04-16,1145188800
2006-04-23,1145793600
2006-04-30,1146398400
2006-05-07,1147003200
2006-05-14,1147608000
2006-05-21,1148212800
2006-05-28,1148817600
2006-06-04,1149422400
2006-06-11,1150027200
2006-06-18,1150632000
2006-06-25,1151236800
2006-07-02,1151841600
2006-07-09,1152446400
2006-07-16,1153051200
2006-07-23,1153656000
2006-07-30,1154260800
2006-08-06,1154865600
2006-08-13,1155470400
2006-08-20,1156075200
2006-08-27,1156680000
2006-09-03,1157284800
2006-09-10,1157889600
2006-09-17,1158494400
2006-09-24,1159099200
2006-10-01,1159704000
2006-10-08,1160308800
2006-10-15,1160913600
2006-10-22,1161518400
2006-10-29,1162123200
2006-11-05,1162728000
2006-11-12,1163332800
2006-11-19,1163937600
2006-11-26,1164542400
2006-12-03,1165147200
2006-12-10,1165752000
2006-12-17,1166356800
2006-12-24,1166961600
2006-12-31,1167566400
2007-01-07,1168171200
2007-01-14,1168776000
2007-01-21,1169380800
2007-01-28,1169985600
2007-02-04,1170590400
2007-02-11,1171195200
2007-02-18,1171800000
2007-02-25,1172404800
2007-03-04,1173009600
2007-03-11,1173614400
2007-03-18,1174219200
2007-03-25,1174824000
2007-04-01,1175428800
2007-04-08,1176033600
2007-04-15,1176638400
2007-04-22,1177243200
2007-04-29,1177848000
2007-05-06,1178452800
2007-05-13,1179057600
2007-05-20,1179662400
2007-05-27,1180267200
2007-06-03,1180872000
2007-06-10,1181476800
2007-06-17,1182081600
2007-06-24,1182686400
2007-07-01,1183291200
2007-07-08,1183896000
2007-07-15,1184500800
2007-07-22,1185105600
2007-07-29,1185710400
2007-08-05,1186315200
2007-08-12,1186920000
2007-08-19,1187524800
2007-08-26,1188129600
